,code,term
260,14951111000001102,Pulmicort 100micrograms/dose inhaler CFC free
261,15358411000001102,Pulmicort 200micrograms/dose inhaler CFC free
262,3294211000001101,Symbicort 100/6 Turbohaler
263,35430111000001100,Kelhale 50micrograms/dose inhaler
264,35430311000001103,Kelhale 100micrograms/dose inhaler
265,36603211000001106,Soprobec 50micrograms/dose inhaler
266,36603411000001105,Soprobec 200micrograms/dose inhaler
267,3179311000001104,Becotide 200 inhaler
268,3292811000001106,Ventide inhaler
269,3182411000001107,AeroBec Forte 250 Autohaler
270,3181411000001102,AeroBec 100 Autohaler
271,3176411000001104,Beclazone 50 inhaler
272,3096011000001109,Becodisks 200microgram with Diskhaler
273,3099811000001109,Becodisks 200microgram
274,3102211000001109,Becodisks 400microgram with Diskhaler
275,3104911000001109,Becodisks 400microgram
276,3111911000001108,Asmabec 50 Clickhaler
277,3112511000001109,Asmabec 100 Clickhaler
278,3174111000001102,Asmabec 250 Clickhaler
279,3176811000001102,Qvar 50 inhaler
280,3175611000001106,Qvar 100 inhaler
281,3178811000001101,Beclazone 100 inhaler
282,3180611000001109,Beclazone 250 inhaler
283,3604611000001104,Beclazone 50 Easi-Breathe inhaler
284,3181711000001108,Beclazone 100 Easi-Breathe inhaler
285,3192111000001101,Becotide 200microgram Rotacaps
286,3194011000001108,Becotide 400microgram Rotacaps
287,3178611000001100,Becotide 100 inhaler
288,3176211000001103,Becotide 50 inhaler
289,3188311000001102,Seretide 500 Accuhaler
290,453611000001102,Seretide 50 Evohaler
291,810211000001105,Seretide 125 Evohaler
292,539811000001106,Seretide 250 Evohaler
